pl_name,hostname,starsnum,planetsnum,discoverymethod,disc_year,disc_facility,orbital_period,pl_orbsmax,pl_radius,pl_mass,pl_orbeccen,pl_eqtemp,st_spectype,st_eff_temp,st_radius,st_mass,st_met,st_surface_gravity,sy_distance,sy_vmag,sy_kmag,sy_gaiamag
11 Com b,11 Com,2,1,Radial Velocity,2007,Xinglong Station,326.03,1.29,12.1,6165.6,0.231,,G8 III,4742,19,2.7,-0.35,2.31,93.1846,4.72307,2.282,4.44038
11 UMi b,11 UMi,1,1,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,516.21997,1.53,12.3,4684.8142,0.08,,K4 III,4213,29.79,2.78,-0.02,1.93,125.321,5.013,1.939,4.56216
14 And b,14 And,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,185.84,0.83,12.9,1525.5,0,,K0 III,4813,11,2.2,-0.24,2.63,75.4392,5.23133,2.331,4.91781
14 Her b,14 Her,1,2,Radial Velocity,2002,W. M. Keck Observatory,1773.40002,2.93,12.9,1481.0878,0.37,,K0 V,5338,0.93,0.9,0.41,4.45,17.9323,6.61935,4.714,6.383
16 Cyg B b,16 Cyg B,3,1,Radial Velocity,1996,Multiple Observatories,798.5,1.66,13.5,565.7374,0.68,,G3 V,5750,1.13,1.08,0.06,4.36,21.1397,6.215,4.651,6.06428
18 Del b,18 Del,2,1,Radial Velocity,2008,Okayama Astrophysical Observatory,993.3,2.6,12.5,3273.5,0.08,,G6 III,4979,8.5,2.3,-0.052,2.82,76.222,5.51048,3.366,5.27476
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,Imaging,2008,Gemini Observatory,,330,18.647,3000,,1700,K7 V,4060,1.31,0.85,,4,139.135,12.618,8.916,12.0572
24 Boo b,24 Boo,1,1,Radial Velocity,2018,Okayama Astrophysical Observatory,30.3506,0.19,13.9,289.2253,0.042,,G3 IV,4893,10.64,0.99,-0.77,2.42,95.9863,5.59,3.159,5.3339
24 Sex b,24 Sex,1,2,Radial Velocity,2010,Lick Observatory,452.8,1.333,13.4,632.46,0.09,,K0 IV,5098,4.9,1.54,-0.03,3.5,72.0691,6.4535,4.285,6.20374
24 Sex c,24 Sex,1,2,Radial Velocity,2010,Lick Observatory,883,2.08,13.9,273.32,0.29,,K0 IV,5098,4.9,1.54,-0.03,3.5,72.0691,6.4535,4.285,6.20374
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,2,1,Imaging,2013,Paranal Observatory,,84,12.3,4131.79,,,M5.5/M6,,,0.19,,,47.2,15.788,9.237001,
2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,Imaging,2013,W. M. Keck Observatory,,52,11.209,7786.5,,1600,M3.5 V,3530,0.37,0.4,,4.86,33.8281,14.244,9.198,12.9025
2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,1,Imaging,2015,Cerro Tololo Inter-American Observatory,,156,16.141,4417.837,,,M6,3064,0.28,0.11,,4.59,40.0896412,,10.404,15.0123
2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,1,Imaging,2010,Hubble Space Telescope,,15,12.6,2383.6,,,M8.5,2936,0.23,0.02,,5.01,120.423987,,13.161,18.9668
2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,1,Imaging,2004,Paranal Observatory,,46,13,1271,,1150,M8,2825,0.22,0.19,,5.03,64.308,20.15,11.945,17.4076
2MASS J19383260+4603591 b,2MASS J19383260+4603591,2,1,Eclipse Timing Variations,2015,Kepler,416,0.92,13.4,603.877,,,,10868,0.34,0.48,-0.092,3.91,396.332,12.651,12.955,12.1376
2MASS J21402931+1625183 A b,2MASS J21402931+1625183 A,1,1,Imaging,2009,W. M. Keck Observatory,7336.5,,10.31,6657.48,0.26,2075,M8.5,2300,0.12,0.08,,5.22,33.1156898,,11.826,17.3961
2MASS J22362452+4751425 b,2MASS J22362452+4751425,1,1,Imaging,2016,W. M. Keck Observatory,,230,12.3,3972.875,,,K7 V,4045,0.64,0.6,,4.62,69.5737,12.368,9.148,11.9484
30 Ari B b,30 Ari B,4,1,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,335.10001,0.99,12.3,4392.4106,0.29,,F6 V,6331,1.41,1.93,0.19,4.43,44.657,7.09209,5.822,6.96085
4 UMa b,4 UMa,1,1,Radial Velocity,2006,Thueringer Landessternwarte Tautenburg,269.3,0.87,12.7,2256.5,0.432,,K1 III,4415,18.11,1.23,-0.25,1.8,73.4603,4.5801,1.734,4.23773
42 Dra b,42 Dra,2,1,Radial Velocity,2008,Thueringer Landessternwarte Tautenburg,479.1,1.19,13,1233.13,0.38,,K1.5 III,4200,22.03,0.98,-0.46,1.71,90.6545,4.8262,2.085,4.43216
47 UMa b,47 UMa,1,3,Radial Velocity,1996,Lick Observatory,1078,2.1,13.2,804.08,0.032,,G0 V,5872,1.21,1.06,0.04,4.3,13.7967,5.03352,3.75,4.87837
47 UMa c,47 UMa,1,3,Radial Velocity,2001,Lick Observatory,2391,3.6,14.2,171.621,0.098,,G1 V,5872,1.21,1.06,0.04,4.3,13.7967,5.03352,3.75,4.87837
47 UMa d,47 UMa,1,3,Radial Velocity,2009,Lick Observatory,14002,11.6,13.5,521.22,0.16,,G0V,5872,1.21,1.06,0.04,4.3,13.7967,5.03352,3.75,4.87837
51 Eri b,51 Eri,3,1,Imaging,2015,Gemini Observatory,11688,12,13.4,635.66,0.45,700,F0 IV,7295,1.49,1.65,-0.027,4.31,29.7575,5.21149,4.537,5.15806
51 Peg b,51 Peg,1,1,Radial Velocity,1995,Haute-Provence Observatory,4.230785,0.0527,14.3,146.2018,0.013,,G5V,5758,1.18,1.03,0.18,4.31,15.4614,5.45309,3.911,5.28647
55 Cnc b,55 Cnc,2,5,Radial Velocity,1996,Lick Observatory,14.6516,0.1134,13.9,263.9785,0,700,K0 IV-V,5172,0.94,0.91,0.35,4.43,12.5855,5.95084,4.015,5.72973
55 Cnc c,55 Cnc,2,5,Radial Velocity,2004,McDonald Observatory,44.3989,0.2373,8.51,54.4738,0.03,,G8V,5172,0.94,0.91,0.35,4.43,12.5855,5.95084,4.015,5.72973
55 Cnc d,55 Cnc,2,5,Radial Velocity,2002,Lick Observatory,5574.2,5.957,13,1232.493,0.13,,G8 V,5172,0.94,0.91,0.35,4.43,12.5855,5.95084,4.015,5.72973
55 Cnc e,55 Cnc,2,5,Radial Velocity,2004,McDonald Observatory,0.7365474,0.01544,1.875,7.99,0.05,1958,G8 V,5172,0.94,0.91,0.35,4.43,12.5855,5.95084,4.015,5.72973
55 Cnc f,55 Cnc,2,5,Radial Velocity,2007,Multiple Observatories,259.88,0.7708,7.59,44.812,0.08,,G8V,5172,0.94,0.91,0.35,4.43,12.5855,5.95084,4.015,5.72973
6 Lyn b,6 Lyn,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,934.3,2.11,13.4,638.8383,0.073,,K0 IV,4938,5.2,1.44,-0.13,3.19,54.6599,5.87307,3.701,5.60686
61 Vir b,61 Vir,1,3,Radial Velocity,2009,Multiple Observatories,4.215,0.050201,2.11,5.1,0.12,,G5 V,5577,0.96,0.94,-0.01,4.34,8.50332,4.6955,2.956,4.54052
61 Vir c,61 Vir,1,3,Radial Velocity,2009,Multiple Observatories,38.021,0.2175,4.46,18.2,0.14,,G5 V,5577,0.96,0.94,-0.01,4.34,8.50332,4.6955,2.956,4.54052
61 Vir d,61 Vir,1,3,Radial Velocity,2009,Multiple Observatories,123.01,0.476,5.11,22.9,0.35,,G5 V,5577,0.96,0.94,-0.01,4.34,8.50332,4.6955,2.956,4.54052
7 CMa b,7 CMa,1,2,Radial Velocity,2011,Anglo-Australian Telescope,735.1,1.758,13.4,587.9855,0.06,,K1 III,4826,4.87,1.34,0.21,3.19,19.8101,3.95,1.564,3.67853
7 CMa c,7 CMa,1,2,Radial Velocity,2019,Multiple Observatories,996,2.153,13.9,276.5121,0.08,,K1III(+M),4826,4.87,1.34,0.21,3.19,19.8101,3.95,1.564,3.67853
70 Vir b,70 Vir,1,1,Radial Velocity,1996,Lick Observatory,116.688,0.481,12.6,2380.45,0.3988,,G5V,5495,1.89,1.09,-0.09,3.95,17.9011,4.96808,3.5,4.76178
75 Cet b,75 Cet,2,1,Radial Velocity,2012,Okayama Astrophysical Observatory,691.9,2.1,13.1,953.49,0.117,,G3 III,4846,10.5,2.49,0,2.63,82.9613,5.3532,3.207,5.09343
8 UMi b,8 UMi,1,1,Radial Velocity,2015,Bohyunsan Optical Astronomical Observatory,93.4,0.49,13.6,416.3573,0.06,,K0,4847,10.3,1.44,-0.03,2.57,162.552,6.83295,4.515,6.55896
81 Cet b,81 Cet,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,952.7,2.5,12.8,1684.4,0.206,,G5 III,4785,11,2.4,-0.06,2.35,101.26,5.64307,3.266,5.37588
91 Aqr b,91 Aqr,3,1,Radial Velocity,2013,Lick Observatory,181.4,0.7,13.1,1017,0.027,,K0 III,4665,11,1.4,-0.03,2.52,44.0304,4.23946,1.597,3.95311
AB Pic b,AB Pic,1,1,Imaging,2005,Paranal Observatory,,260,12.3,4290.5,,,K2 V,5285,1,0.9,0.04,4.53,50.0475,9.13,6.981,8.8378
AU Mic b,AU Mic,1,2,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),8.463,0.0645,4.07,17,0,593,M1VE,3700,0.75,0.5,,4.57,9.7221,8.81,4.529,7.84038
AU Mic c,AU Mic,1,2,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),18.859019,0.1101,3.24,13.6,0,454,M1VE,3700,0.75,0.5,,4.57,9.7221,8.81,4.529,7.84038
BD+03 2562 b,BD+03 2562,1,1,Radial Velocity,2017,Multiple Observatories,481.9,1.3,12.7,2034.112,0.2,,,4095,32.35,1.14,-0.71,1.89,1070.63,9.577,6.021,8.9977
BD+14 4559 b,BD+14 4559,1,1,Radial Velocity,2009,McDonald Observatory,268.94,0.78,13.8,330.5432,0.29,,K2 V,4864,0.86,0.49,0.17,4.26,49.352,9.78,7.336,9.35108
BD+15 2375 b,BD+15 2375,1,1,Radial Velocity,2016,Roque de los Muchachos Observatory,153.22,0.576,13.8,337.21763,0.001,,G5,4649,8.95,1.08,-0.22,2.61,768.045,10.41,7.718,9.9918
BD+15 2940 b,BD+15 2940,1,1,Radial Velocity,2013,McDonald Observatory,137.48,0.539,13.7,352.78,0.26,,K0,4796,14.7,1.1,0.28,2.8,426.42,9.01,6.525,8.7178
BD+20 2457 b,BD+20 2457,1,2,Radial Velocity,2009,McDonald Observatory,379.63,1.05,11.6,17668.1697,0.15,,K2 II,4259,71.02,10.83,-0.79,1.77,1539.71,9.743,6.42,9.22684
BD+20 2457 c,BD+20 2457,1,2,Radial Velocity,2009,McDonald Observatory,621.99,2.01,12.4,3963.17,0.18,,K2 II,4137,49,2.8,-1,1.51,1539.71,9.743,6.42,9.22684
BD+20 274 b,BD+20 274,1,1,Radial Velocity,2012,McDonald Observatory,578.2,1.3,13,1334.886,0.21,,K5 III,4296,17.3,0.8,-0.46,1.99,1322.51,9.367,6.169,8.91613
BD+20 594 b,BD+20 594,1,1,Transit,2016,K2,41.6855,0.241,2.578,22.2481,0,546,G,5766,1.08,1.67,-0.15,4.5,179.461,10.849,9.368,10.8644
