pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_orbeccen,pl_eqt,st_spectype,st_teff,st_rad,st_mass,st_met,st_logg,sy_dist,sy_vmag,sy_kmag,sy_gaiamag
51 Eri b,51 Eri,3,1,Imaging,2015,Gemini Observatory,11688,12,13.4,635.66,0.45,700,F0 IV,7295,1.49,1.65,-0.027,4.31,29.7575,5.21149,4.537,5.15806
55 Cnc b,55 Cnc,2,5,Radial Velocity,1996,Lick Observatory,14.6516,0.1134,13.9,263.9785,0,700,K0 IV-V,5172,0.94,0.91,0.35,4.43,12.5855,5.95084,4.015,5.72973
55 Cnc e,55 Cnc,2,5,Radial Velocity,2004,McDonald Observatory,0.7365474,0.01544,1.875,7.99,0.05,1958,G8 V,5172,0.94,0.91,0.35,4.43,12.5855,5.95084,4.015,5.72973
BD+20 594 b,BD+20 594,1,1,Transit,2016,K2,41.6855,0.241,2.578,22.2481,0,546,G,5766,1.08,1.67,-0.15,4.5,179.461,10.849,9.368,10.8644
CoRoT-1 b,CoRoT-1,1,1,Transit,2008,CoRoT,1.5089557,0.02752,16.7,327.35,0,1898,G0 V,5950,1.11,0.95,-0.3,4.25,787.909,13.623,12.149,13.457
CoRoT-10 b,CoRoT-10,1,1,Transit,2010,CoRoT,13.2406,0.1055,10.87,874,0.53,600,K1 V,5075,0.79,0.89,0.26,4.65,338.386,15.293,11.782,14.6645
CoRoT-11 b,CoRoT-11,1,1,Transit,2010,CoRoT,2.99433,0.0436,16.03,740.51,0,1657,F6 V,6440,1.37,1.27,-0.03,4.22,655.037,12.897,11.248,12.841
CoRoT-13 b,CoRoT-13,1,1,Transit,2010,CoRoT,4.03519,0.051,9.92,415.704,0,1700,G0 V,5945,1.01,1.09,0.01,4.46,1148.93,15.005,13.376,14.9147
CoRoT-14 b,CoRoT-14,1,1,Transit,2010,CoRoT,1.51214,0.027,12.22,2415.4,0,1952,F9 V,6035,1.21,1.13,0.05,4.35,1744.6,15.932,13.806,15.8116
CoRoT-17 b,CoRoT-17,1,1,Transit,2011,CoRoT,3.7681,0.0461,11.43,772.29,0,1626,G2 V,5740,1.59,1.04,0,4.4,1176.12,16.29,12.472,15.4368
CoRoT-18 b,CoRoT-18,1,1,Transit,2011,CoRoT,1.9000693,0.0295,14.68,1102.82,0.08,1550,G9 V,5440,1,0.95,-0.1,4.4,764.889,14.868,13.014,14.8009
CoRoT-19 b,CoRoT-19,1,1,Transit,2011,CoRoT,3.89713,0.0518,14.46,352.78,0.047,2000,F9 V,6090,1.65,1.21,-0.02,4.07,790.663,14.135,11.837,13.7831
CoRoT-20 b,CoRoT-20,1,2,Transit,2011,CoRoT,9.24285,0.09,9.416,1366.669,0.59,1024,G2 V,5880,1.02,1.14,0.14,4.35,844.061,14.63,12.513,14.4686
CoRoT-22 b,CoRoT-22,1,1,Transit,2014,CoRoT,9.75598,0.092,4.88,12.2,0.077,885,G3 V,5939,1.14,1.1,0.17,4.36,627.158,13.82,11.988,13.7305
CoRoT-23 b,CoRoT-23,1,1,Transit,2011,CoRoT,3.6313,0.048,11.77,889.9,0.16,1660,G0 V,5900,1.61,1.14,0.05,4.3,1060.97,15.675,12.364,15.0681
CoRoT-24 b,CoRoT-24,1,2,Transit,2014,CoRoT,5.1134,0.056,3.7,5.7,0,1070,K1 V,4950,0.86,0.91,0.3,4.55,591.555,15.383,12.924,15.1801
CoRoT-24 c,CoRoT-24,1,2,Transit,2014,CoRoT,11.759,0.098,5,28,0,850,K1 V,4950,0.86,0.91,0.3,4.55,591.555,15.383,12.924,15.1801
CoRoT-25 b,CoRoT-25,1,1,Transit,2013,CoRoT,4.86069,0.0578,12.11,85.81,0,1330,F9,6040,1.19,1.09,-0.01,4.31,1103.48,14.79,12.846,14.711
CoRoT-26 b,CoRoT-26,1,1,Transit,2013,CoRoT,4.20474,0.0526,14.12,165.26,0,1600,G5,5590,1.79,1.09,0.01,3.99,1045.18,15.861,13.261,15.4682
CoRoT-27 b,CoRoT-27,1,1,Transit,2014,CoRoT,3.57532,0.0476,11.287,3302.11,0.065,1500,G2,5900,1.08,1.05,-0.1,4.4,1010.28,15.774,12.985,15.3902
CoRoT-3 b,CoRoT-3,1,1,Transit,2008,CoRoT,4.2568,0.05783,11.32,6883.91,0,1695,F3 V,6740,1.56,1.37,0.14,4.22,768.771,13.448,11.618,13.2188
CoRoT-5 b,CoRoT-5,1,1,Transit,2009,CoRoT,4.0378962,0.04947,15.558,148.42,0.09,1438,F9 V,6100,1.19,1,-0.25,4.19,882.472,14.043,12.546,13.9021
CoRoT-6 b,CoRoT-6,1,1,Transit,2009,CoRoT,8.886593,0.0855,13.068,940.74,0.1,1017,F9 V,6090,1.02,1.05,-0.2,4.43,645.294,13.961,12.119,13.7459
CoRoT-7 b,CoRoT-7,1,2,Transit,2009,CoRoT,0.85359163,0.017016,1.681,4.07661,0,1756,G9 V,5275,0.83,0.82,0.05,4.5,159.906,11.728,9.806,11.5239
CoRoT-8 b,CoRoT-8,1,1,Transit,2010,CoRoT,6.21229,0.063,6.39,69.92,0,870,K1 V,5080,0.77,0.88,0.3,4.58,322.037,14.792,11.463,14.2195
CoRoT-9 b,CoRoT-9,2,1,Transit,2009,CoRoT,95.272656,0.4021,11.949,266.9772,0.133,420,G3 V,5625,0.96,0.96,-0.01,4.54,412.98,13.637,11.688,13.5008
DMPP-3 A b,DMPP-3 A,2,1,Radial Velocity,2019,La Silla Observatory,6.6732,0.0662,1.41,2.58,0.14,854,K0 V,5138,0.91,0.87,0.18,4.3,45.23,9.066,7.061,8.854298
EPIC 211822797 b,EPIC 211822797,1,1,Transit,2016,K2,21.1701963,0.1195,1.92,4.35,0.06,431,M0,4057,0.58,0.62,0.2,4.7,186.197,15.133,11.429,14.5263
EPIC 211945201 b,EPIC 211945201,1,1,Transit,2018,K2,19.49221,0.1493,5.76,27,0,817,G0,6069,1.39,1.17,0.1,4.22,181.69,10.154,8.837,10.0512
EPIC 212737443 b,EPIC 212737443,1,2,Transit,2019,K2,13.603,0.098,2.586,7.2,0.2,536,K3,4684,0.67,0.69,-0.137,4.62,336.25,14.81,12.16,14.4776
EPIC 212737443 c,EPIC 212737443,1,2,Transit,2019,K2,65.55,0.28,2.69,7.7,0.2,316,K3,4684,0.67,0.69,-0.137,4.62,336.25,14.81,12.16,14.4776
EPIC 220674823 b,EPIC 220674823,1,2,Transit,2016,K2,0.571331,0.0134,1.82,7.72,0,2119,G5 V,5617,0.98,0.97,0.13,4.45,244.59,12.101,10.344,11.9535
EPIC 220674823 c,EPIC 220674823,1,2,Transit,2016,K2,13.339079,0.1091,2.73,5.8,0.18,741,G5 V,5617,0.98,0.97,0.13,4.45,244.59,12.101,10.344,11.9535
EPIC 249893012 b,EPIC 249893012,1,3,Transit,2020,K2,3.5951,0.047,1.95,8.75,0.06,1616,G8 IV/V,5430,1.71,1.05,0.2,3.99,321.296,11.429,9.714,11.4019
EPIC 249893012 c,EPIC 249893012,1,3,Transit,2020,K2,15.624,0.13,3.67,14.67,0.07,990,G8 IV/V,5430,1.71,1.05,0.2,3.99,321.296,11.429,9.714,11.4019
EPIC 249893012 d,EPIC 249893012,1,3,Transit,2020,K2,35.747,0.22,3.94,10.18,0.15,752,G8 IV/V,5430,1.71,1.05,0.2,3.99,321.296,11.429,9.714,11.4019
G 9-40 b,G 9-40,1,1,Transit,2019,K2,5.746007,0.0385,2.025,4.76,0,456,M2.5 V,3348,0.31,0.29,0.04,4.93,27.9276,13.821,9.19,12.7331
GJ 1132 b,GJ 1132,1,2,Transit,2015,Cerro Tololo Inter-American Observatory,1.628931,0.0153,1.13,1.66,0.22,529,M4.5 V,3270,0.21,0.18,-0.12,4.88,12.613,13.68,8.322,12.138
GJ 1132 c,GJ 1132,1,2,Radial Velocity,2018,La Silla Observatory,8.929,0.0476,1.43,2.64,0.27,300,M4.5 V,3270,0.21,0.18,-0.12,5.02,12.613,13.68,8.322,12.138
GJ 1214 b,GJ 1214,1,1,Transit,2009,MEarth Project,1.58040433,0.0149,2.742,8.17,0.063,596,M4 V,3250,0.21,0.18,0.29,5.03,14.6427,15.1,8.782,13.0089
GJ 1252 b,GJ 1252,1,1,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),0.5182349,0.00916,1.193,2.09,0,1089,M3,3458,0.39,0.38,0.1,4.89,20.373,12.68,7.915,11.2364
GJ 143 b,GJ 143,1,2,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),35.61253,0.1915,2.61,22.7,0.188,422,K4.5,4640,0.69,0.73,0.003,4.61,16.32,8.08,5.375,7.67906
GJ 15 A b,GJ 15 A,2,2,Radial Velocity,2014,W. M. Keck Observatory,11.4407,0.072,1.55,3.03,0.094,550,M1,3607,0.38,0.38,-0.34,4.87,3.56228,8.09,4.018,7.2162
GJ 251 b,GJ 251,1,1,Radial Velocity,2020,W. M. Keck Observatory,14.238,0.0818,1.83,4,0.1,351,M3.0 V,3451,0.36,0.36,-0.03,4.96,5.58057,9.89,5.275,8.85518
GJ 3021 b,GJ 3021,2,1,Radial Velocity,2000,La Silla Observatory,133.71,0.49,13.1,1071.04,0.511,350,G6 V,5540,0.9,0.9,0.1,4.7,17.5559,6.59,4.859,6.39729
GJ 338 B b,GJ 338 B,2,1,Radial Velocity,2020,Calar Alto Observatory,24.45,0.141,3.19,10.27,0.11,391,M0.0 V,4005,0.58,0.64,-0.03,4.68,6.33256,7.7,4.136,7.04775
GJ 3470 b,GJ 3470,1,1,Radial Velocity,2012,La Silla Observatory,3.3366496,0.0355,4.57,13.9,0.017,594,M1.5,3600,0.55,0.54,0.2,4.7,29.4214,12.332,7.989,11.3537
GJ 3473 b,GJ 3473,2,2,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),1.1980035,0.01589,1.264,1.86,0,773,M4,3347,0.36,0.36,0.11,4.81,27.3644,13.74,8.829001,12.465
GJ 3473 c,GJ 3473,2,2,Radial Velocity,2020,Multiple Observatories,15.509,0.0876,2.63,7.41,0,329,M4,3347,0.36,0.36,0.11,4.81,27.3644,13.74,8.829001,12.465
